Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,韓林兒,Han Lin'er,biography of Han Lin'er,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B7122#%E9%9F%93%E6%9E%97%E5%85%92,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,鄭和,Zheng He,biography of Zheng He,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B7304#%E9%84%AD%E5%92%8C,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,蜀獻王椿,Shu Xian Wang Chun,"biography of Chun, Prince Xian of Shu",,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B7117,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,土司,tusi,native offices,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B7310,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,四川土司一,Sichuan tusi yi,Sichuan native offices 1,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B7311#%E9%A6%AC%E6%B9%96,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,四川土司二,Sichuan tusi er,Sichuan native offices 2,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B7312,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,食貨五,shihuo wu,food and commodities 5,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B781,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,食貨六,shihuo liu,food and commodities 6,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B782,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,貴州土司,Guizhou tusi,Guizhou native offices,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B7316,,
Fuxiuyue riji,浮休閱目集,,,,,南宋,張芸臾,Zhang Yunyu,,,,,,,,,,,,,,,,,,,,,,,Cited in 賓退綠 9,
Chunxi Xin'an zhi,淳熙新安志,,,地方誌,徽州,1189,趙不悔修,Zhao Buhuai,,羅願纂,Luo Yuan,,,清嘉慶十七年刻本,,,,,,,,,,,,,,LoGaRT,中國方志庫一集,,,
Qianlong Hangzhou fuzhi,乾隆杭州府志,,,地方誌,,乾隆,郑澐,Zheng Yun,,,,,,,,,,,,,,南關監督,nan guan jiandu,southern customs station oversight,,,,LoGaRT,中國方志庫一集,,,
Bin tui lu,賓退綠,,,雜家,,南宋,趙與時,Zho Yushi,,,,,,,,,,,,,,,,,,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%B3%93%E9%80%80%E9%8C%84/%E5%8D%B709,,
Longqing Yuezhou fuzhi,隆慶岳州府志,,,地方誌,岳州,隆慶,鍾崇文纂修,Zhong Chongwen,,,,,,明隆慶刻本,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Jiajing Taicang zhouzhi,嘉靖太倉州志,,,地方誌,,1548,周士佐修,Zhou Shizuo,,张寅纂,Zhang Yin,,,,,,,,,,,,,,,,,LoGaRT,中國方志庫一集,,,
Jiaqing Zhili Xuyong ting zhi,嘉慶直隸敘永廳志,,,地方誌,,嘉慶,周偉業修,Zhou Weiye,,褚彦昭,Chu Yanzhao,,,,,,,,,,,木政,mu zheng,timber administration,,,,LoGaRT,中國方志庫一集,,,
Chongzhen Kaihui xianzhi,崇禎開化縣志,,,地方誌,開化縣,1631,朱朝藩修,Zhu Chaofan,,汪慶百纂,Wang Qingbai,,,明崇禎刻本,,,,,,,,志圖,zhitu,record of the districts,,,,LoGaRT,中國方志庫一集,,,
Caochuan zhi,漕船志,Treatise on Transport Ships,,政書,,1501,朱家相,Zhu Jiaxiang,,,,,,淮安文獻叢刻,,,,,,,,抽分稅辦,choufen shui ban,tariff management,,,,Wikisource,,https://zh.wikisource.org/zh/%E6%BC%95%E8%88%B9%E5%BF%97#%E6%8A%BD%E5%88%86%E7%A8%85%E8%BE%A6,,
Caochuan zhi,漕船志,Treatise on Transport Ships,,政書,,1501,朱家相,Zhu Jiaxiang,,,,,,淮安文獻叢刻,,,,,,,,漕船志敘,caochuan zhi xu,preface to the treatise on transport ships,席書,Xi Shu,,Wikisource,,https://zh.wikisource.org/wiki/%E6%BC%95%E8%88%B9%E5%BF%97%E6%95%98,,
Caochuan zhi,漕船志,Treatise on Transport Ships,,政書,,1501,朱家相,Zhu Jiaxiang,,,,,,淮安文獻叢刻,,,,,,,,料額,liao e,material quotas,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%BC%95%E8%88%B9%E5%BF%97#%E6%96%99%E9%A1%8D,,
